photos,cadetblue,camera,<b>{3}</b><br/><a href="#" class="thumbnail" data-img-url="./photos/{2}" title-text="{3}"><img src="./photos/thumbnails/{2}" width="320"></a>
9.235107056151358,-74.42272681742905,P1190996.JPG,Entrance el Cuchubo 
9.235053776366405,-74.42273989319801,P1200002.JPG,Area 1a 
9.235060394973665,-74.42269831895828,P1190998.JPG,Area 2a
9.235063042416543,-74.42272111773491,P1200004.JPG,Area 3a from entrance
9.235000827503802,-74.42267283797263,P1200005.JPG,Area 3a view from kitchen
9.234883016255987,-74.42256085574626,P1200006.JPG,Area 4a from house
9.234848930410086,-74.42259136587381,P1200007.JPG,Area house Mr. Pontón taken from clemón
9.234824772478467,-74.42256554961205,P1200008.JPG,Area 5a
9.23495582096434,-74.42253738641739,P1200010.JPG,Area Behind Mr. Pontóns house
9.23484065714602,-74.42265003919601,P1200011.JPG,Area 3a to Kitchen taken from Big Mamoncillo in open area 4a
9.234816830144423,-74.42270435392857,P1200013.JPG,Path going to pinus
9.23481815386678, -74.42275336252688,P1200015.JPG,Around Prbromelia 
9.234816830144423,-74.42277643829584,P1200016.JPG,Path between 3c and 3b taken form Santa Cruz
9.234826096200797,-74.4228096306324,P1200017.JPG,Path going to y from 3b
9.234965087017063,-74.42277878522873,P1200018.JPG,Path leading back to entrance passing by 3b 1c 1b and 1a
9.234834700395776,-74.42258834838867,P1200019.JPG,view from Tamarinde to 5a
9.234933317692454,-74.42260444164276,P1200033.JPG,view intermezzo
9.235073301257465,-74.42273151129484,panoramica.jpg,panoramica

buildings,purple,star,<b>{2}</b><br/>{3}
9.235022007049798,-74.42264601588249,kitchen,
9.234892282310618,-74.42253604531288,house,
9.234884339978088,-74.4224850833416,septic tank,
9.235107056151358,-74.42272681742905,gate,this is the main entrance<br/>to the garden
